,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
[run number],r,step-size,rw-type,[step],mean [distance-to-zero] of turtles,step-size * sqrt ticks,mean [xcor] of turtles,mean [ycor] of turtles,100 * count patches with [pcolor = yellow] / count patches,time-all-covered,time-border-reached,map [ t -> [ current-angle ] of t ] sort turtles,map [ t -> [ angle ] of t ] sort turtles
32,1.2,0.4,deterministic,10000,0.545025792983566,40,0.005037254123380827,0.1058088846552785,0.7524858908895459,0,0,[0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666],[0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666]
33,1.2,0.6,deterministic,10000,0.7706173968953499,60,-0.14895771945360678,0.06630281957277355,1.0481053480247244,0,0,[0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674],[0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674]
34,1.2,0.8,deterministic,10000,0.9891683090097999,80,0.16143745122149308,0.20668324310333624,1.66621875839828,0,0,[0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674],[0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674]
35,1.2,1,deterministic,10000,1.3191373633030656,100,0.1694886821137435,-0.15634709823009021,2.472453641494222,0,0,[0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666],[0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666]
36,1.2,1.2,deterministic,10000,1.3330515947056538,120,0.077316438554203,0.0273845151012328,2.2305831765654394,0,0,[0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674],[0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674]
37,1.2,1.4,deterministic,10000,1.852004200895291,140,0.009281575327064879,0.31707913831152945,3.305563020693362,0,0,[0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666663 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666],[0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666663 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666]
38,1.2,1.6,deterministic,10000,1.8220813463367076,160,0.058019852561023245,0.26509638227160615,3.1443160440741735,0,0,[0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666],[0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666]
41,1.5,0.2,deterministic,10000,0.5911399794623597,20,0.38545153228778495,0.00493475597774591,63.77317925288901,0,155,[0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333],[0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337]
39,1.2,1.8,deterministic,10000,2.265357609491782,180,0.0015688983982227623,-0.23900625740008244,3.816178446654125,0,0,[0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674],[0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674]
42,1.5,0.4,deterministic,10000,0.44870082840194975,40,-0.023462242259424757,0.0939119308547457,0.29561945713517873,0,0,[0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333332 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333332 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337],[0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333332 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333332 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333]
40,1.2,2,deterministic,10000,2.2408946823385407,200,0.2258784191854528,-0.31892747669689486,4.031174415479709,0,0,[0.16666666666666674 0.16666666666666674 0.16666666666666663 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674],[0.16666666666666674 0.16666666666666674 0.16666666666666663 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.16666666666666674 0.1666666666666666 0.16666666666666674]
43,1.5,0.6,deterministic,10000,0.7018203001277901,60,0.12327121328327566,0.11655338860018823,0.5912389142703575,0,0,[0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333],[0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337]
44,1.5,0.8,deterministic,10000,0.9943129111974182,80,-0.1505628572984593,-0.03798406751961465,0.8868583714055361,0,0,[0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333],[0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337]
45,1.5,1,deterministic,10000,1.0842563766758715,100,0.07893403762199597,0.22122349355759788,0.7793603869927439,0,0,[0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.3333333333333332 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333],[0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.3333333333333332 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333332 0.33333333333333337 0.33333333333333337 0.33333333333333337 0.3333333333333333 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.3333333333333332 0.3333333333333333 0.33333333333333337 0.3333333333333333 0.33333333333333337]
