,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
[run number],step-size,num,rw-type,[step],mean [distance-to-zero] of turtles,step-size * sqrt ticks,mean [xcor] of turtles,mean [ycor] of turtles,100 * count patches with [pcolor = yellow] / count patches,time-all-covered,time-border-reached,map [ t -> [ current-angle ] of t ] sort turtles,map [ t -> [ angle ] of t ] sort turtles
22,1.6,50,lattice,22781,37.251046009895305,241.49401648902196,-9.647999999999962,-1.3200000000000158,100,22781,209,[180 90 270 180 90 270 0 180 180 180 0 90 90 180 90 180 0 0 270 270 0 90 180 270 270 270 90 180 0 0 180 0 90 0 90 180 180 0 90 0 0 180 90 90 270 0 180 180 270 180],[0 0 90 90 180 90 270 0 90 0 180 0 90 180 90 0 270 0 270 180 270 180 270 0 0 270 90 270 0 90 180 180 0 180 90 0 90 270 90 0 180 270 0 0 90 0 180 180 270 90]
21,1.4,150,lattice,11680,38.67116919690433,151.3036681643905,1.9946666666666624,1.4799999999999918,100,11680,196,[0 90 0 270 270 90 180 90 90 270 180 180 0 0 270 270 180 0 90 0 180 0 90 0 180 0 0 0 270 270 0 0 180 0 90 180 90 90 90 270 90 270 0 0 180 0 0 0 180 0 0 90 90 270 270 180 270 90 0 180 0 0 180 0 180 90 270 270 90 180 90 0 270 180 180 0 270 270 90 270 0 0 0 90 270 180 180 90 90 90 0 270 180 180 0 90 90 90 0 90 270 90 180 0 0 90 0 90 180 90 270 90 180 90 90 0 0 180 270 270 0 90 180 90 180 90 180 0 270 90 270 180 270 0 270 180 90 90 90 0 0 270 180 180 270 0 0 270 270 270],[90 90 270 180 180 270 90 270 180 90 0 270 0 90 180 90 90 180 270 180 0 270 0 180 180 90 270 0 90 180 180 180 90 180 0 270 180 180 270 180 180 0 0 0 270 90 180 180 270 270 90 0 180 180 0 270 270 270 90 0 90 90 180 0 0 270 0 0 0 270 90 270 90 90 180 0 180 270 270 270 180 270 0 0 180 0 180 270 180 90 180 180 180 0 0 270 90 270 0 90 180 0 270 0 180 90 180 0 90 90 0 270 270 180 0 270 180 180 180 90 90 0 270 0 180 180 0 90 180 0 270 180 0 0 0 180 0 270 0 90 270 0 270 270 180 180 90 180 0 90]
25,1.8,50,lattice,23564,39.208818289631445,276.31026039580945,-4.859999999999999,3.872000000000001,100,23564,127,[270 180 90 90 180 90 270 0 0 180 0 0 90 0 180 0 0 180 180 0 90 270 90 270 270 180 180 270 90 90 180 180 90 180 90 270 180 0 270 90 0 0 90 90 270 0 90 90 180 270],[180 0 90 180 270 0 270 180 270 270 90 90 90 180 180 0 270 0 180 0 0 0 90 180 90 90 180 0 180 0 180 180 90 270 90 90 0 0 90 180 0 0 180 90 0 270 90 180 270 180]
23,1.6,100,lattice,23527,36.366013304364245,245.4162178830079,1.5480000000000107,-3.3140000000000076,100,23527,237,[0 90 90 180 0 180 270 90 270 90 180 0 180 180 180 180 90 0 0 90 180 270 180 90 270 270 180 90 90 270 180 90 0 180 90 90 90 180 180 180 0 0 180 90 90 0 90 270 270 90 270 90 0 180 90 270 90 270 0 270 270 180 180 270 90 180 180 90 90 0 270 90 90 90 0 90 90 0 180 0 0 0 270 0 0 270 270 180 180 270 90 270 270 180 270 90 270 270 0 0],[270 270 180 180 270 0 180 90 0 270 0 0 90 270 0 180 90 90 90 180 90 0 90 270 90 270 90 0 90 270 0 270 270 0 180 270 0 90 180 270 90 90 180 180 270 0 90 0 0 270 90 0 270 270 90 0 90 270 90 180 90 0 90 270 90 90 0 270 90 0 180 270 0 0 0 90 270 180 0 270 270 270 180 180 90 0 180 90 270 90 0 270 0 90 180 0 0 0 270 270]
28,2,50,lattice,5528,36.692204547819664,148.70104236352884,-3.56,-5.58,100,5528,225,[0 0 180 90 90 90 270 90 270 180 270 270 90 90 0 90 180 180 90 270 180 90 270 90 0 0 0 0 90 180 270 270 90 270 180 180 180 0 180 180 180 270 90 180 0 270 270 0 90 270],[0 270 0 90 0 180 0 270 0 90 180 270 0 0 180 0 0 180 180 0 270 180 0 180 270 90 0 90 270 90 180 270 270 0 90 180 270 270 270 270 180 180 270 0 90 270 90 0 90 180]
24,1.6,150,lattice,12483,37.393565395694935,178.7637547155463,-1.193333333333341,2.4186666666666627,100,12483,127,[0 90 180 180 90 90 90 270 0 180 90 0 0 90 90 180 270 90 270 90 0 0 0 0 180 180 90 180 0 90 90 180 180 270 270 270 90 90 0 180 90 90 0 180 180 270 180 180 270 270 90 180 180 0 270 270 0 90 90 0 0 270 180 180 270 270 0 0 90 180 270 180 270 270 90 0 90 0 270 90 270 180 180 0 270 270 270 90 270 0 90 270 270 0 0 0 180 270 0 0 180 90 180 90 90 90 90 90 90 0 180 0 0 180 180 180 180 0 270 90 180 90 180 0 90 270 180 0 270 180 180 0 180 270 180 270 270 180 90 180 90 90 0 270 270 0 270 180 180 180],[0 270 270 270 90 0 90 180 180 90 90 0 0 90 90 270 0 90 0 90 0 270 0 180 180 0 0 0 0 180 90 270 0 0 0 90 180 90 90 180 270 270 180 90 0 90 180 270 270 90 90 0 270 90 270 90 180 90 90 270 90 180 180 270 90 270 270 270 90 270 0 90 0 270 180 0 180 180 0 270 0 90 0 0 180 270 270 180 0 90 270 180 0 180 180 270 0 180 180 0 180 0 180 90 180 180 180 0 90 270 90 90 180 0 180 0 270 0 270 270 90 90 180 270 180 180 90 270 270 270 0 0 90 90 0 270 0 0 180 0 0 270 0 180 90 270 90 180 90 180]
29,2,100,lattice,5303,39.997189228701565,145.64340012510007,2.7,0.29,100,5303,105,[270 270 180 270 270 90 0 0 0 180 270 0 0 0 270 0 180 90 90 90 270 0 0 180 0 90 270 180 0 90 90 180 0 180 90 270 90 90 180 90 0 0 90 90 90 0 0 270 180 180 180 0 180 0 0 180 180 90 180 180 0 0 0 270 90 270 180 270 180 0 270 90 0 90 270 0 180 180 0 90 270 90 90 180 180 0 0 180 90 90 90 270 180 0 0 180 90 90 270 270],[270 180 90 180 270 270 90 270 90 270 270 270 270 180 0 270 180 270 0 0 0 180 0 180 270 90 90 180 0 90 270 0 0 180 180 90 0 180 90 90 180 90 0 180 180 0 0 180 90 270 0 270 180 0 90 270 270 270 180 0 0 0 270 90 270 90 270 90 180 0 270 180 270 0 270 270 90 0 0 0 270 270 270 90 270 0 180 90 270 0 270 180 0 270 90 90 270 0 0 180]
30,2,150,lattice,3319,38.29117291213373,115.22152576667261,-0.86,3.8133333333333335,100,3319,91,[90 0 180 270 90 90 0 270 0 90 270 90 180 90 0 90 270 270 0 0 270 180 180 180 180 270 0 270 90 180 180 270 270 270 180 270 270 180 180 180 270 90 270 270 0 270 180 180 90 0 0 0 90 90 90 90 270 270 270 180 0 180 0 90 90 270 180 90 270 0 270 180 270 180 0 180 180 180 0 90 270 270 0 0 0 270 270 270 270 180 180 270 0 180 90 0 180 0 180 270 0 270 90 0 0 180 180 270 0 90 90 90 180 0 0 0 0 0 0 90 0 90 270 180 0 180 180 0 0 180 180 0 90 90 180 180 180 0 270 270 0 0 0 90 90 180 180 270 90 0],[90 0 270 270 0 180 90 90 0 90 180 270 90 0 0 270 180 90 270 180 180 180 0 0 270 0 0 90 270 0 90 180 180 270 270 90 90 90 90 90 270 0 90 0 180 270 180 90 90 90 270 270 180 270 270 0 0 0 90 90 90 0 180 270 270 180 180 270 0 0 270 0 90 90 180 90 0 90 270 180 270 270 0 270 270 180 0 270 270 270 180 0 270 90 270 90 180 270 270 270 180 270 90 90 0 270 270 180 0 90 180 90 90 180 180 0 90 270 180 270 270 0 180 0 270 90 270 270 180 180 180 90 90 90 270 270 270 90 0 270 0 180 90 90 270 270 90 0 0 0]
26,1.8,100,lattice,22438,36.70273183934624,269.6277433796456,0.4379999999999951,-4.586000000000001,100,22438,195,[90 90 270 0 0 90 180 180 90 180 180 90 0 90 270 0 270 270 180 90 0 0 270 0 90 180 270 90 180 270 180 90 0 90 270 0 270 180 0 90 180 90 90 90 180 90 90 0 90 0 270 90 0 90 0 180 270 0 180 180 90 270 180 180 90 180 180 0 90 270 270 270 90 90 90 0 180 270 90 0 180 180 90 180 180 90 270 0 180 270 90 0 270 180 0 180 270 90 180 0],[180 180 90 180 180 270 0 270 180 180 90 270 0 0 270 0 90 270 180 180 0 90 0 270 180 180 270 0 90 90 270 90 90 270 90 0 0 180 180 180 180 90 0 270 90 270 0 270 90 180 90 90 270 0 180 270 270 180 0 180 270 180 270 180 90 0 0 270 180 0 270 180 270 180 90 90 90 180 180 270 180 180 270 270 90 0 0 0 0 90 0 270 180 270 90 270 180 90 270 90]
27,1.8,150,lattice,21321,38.74309214547109,262.83082011057985,2.695999999999994,2.141333333333346,100,21321,102,[180 180 0 180 180 90 270 180 180 90 0 180 180 180 180 0 90 0 270 270 0 90 90 180 90 270 270 180 180 0 180 90 180 180 270 180 90 180 180 90 270 90 180 0 0 270 0 180 180 90 0 270 180 0 180 90 270 0 0 90 90 0 270 0 0 0 270 180 0 180 90 90 0 0 90 90 90 0 0 0 0 270 180 270 270 0 90 90 270 180 0 90 270 0 270 180 0 0 270 270 270 270 270 180 270 0 0 270 180 180 90 180 180 0 0 180 270 270 0 0 90 180 0 90 90 90 180 0 180 180 90 0 270 270 270 270 270 270 90 0 0 0 270 90 0 0 270 270 0 180],[270 90 180 0 270 90 180 90 180 0 0 270 0 90 270 90 180 90 0 0 270 90 0 90 90 270 270 90 270 0 0 0 0 90 180 0 270 0 90 0 270 90 270 90 180 180 180 180 0 90 180 0 270 90 90 270 90 90 0 0 0 270 0 180 90 90 270 180 90 0 270 270 90 90 180 0 0 0 0 180 180 0 270 0 180 90 90 90 0 270 270 90 90 90 0 0 270 270 180 0 180 90 270 180 90 180 90 0 90 90 180 270 90 90 180 90 90 0 180 270 90 90 270 0 0 180 90 0 270 270 270 90 270 180 90 0 180 90 270 0 270 180 270 180 270 0 0 0 180 0]
