,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
[run number],step-size,num,rw-type,[step],mean [distance-to-zero] of turtles,step-size * sqrt ticks,mean [xcor] of turtles,mean [ycor] of turtles,100 * count patches with [pcolor = yellow] / count patches,time-all-covered,time-border-reached,map [ t -> [ current-angle ] of t ] sort turtles,map [ t -> [ angle ] of t ] sort turtles
11,0.8,100,lattice,5016,36.88025900100507,56.65897987080248,-2.0879999999999996,-0.3000000000000006,100,5016,633,[0 90 180 180 180 270 0 90 0 0 90 270 180 0 270 270 180 90 0 90 90 90 0 90 270 0 270 90 90 90 90 180 270 180 90 180 180 270 270 90 180 270 270 270 90 90 180 270 90 270 180 180 90 0 0 0 180 270 270 0 90 270 0 270 0 0 180 180 0 180 270 180 0 180 0 270 90 90 90 180 180 90 270 270 90 180 180 0 180 90 270 180 180 90 0 180 90 270 180 180],[180 270 270 180 270 270 270 180 180 270 0 180 270 90 90 90 0 0 180 0 0 0 90 90 270 270 0 270 180 270 90 270 270 270 270 0 0 270 270 180 90 270 180 90 180 270 270 180 0 0 90 270 90 270 90 90 180 270 270 270 270 180 270 0 180 270 180 90 90 180 90 90 270 270 90 0 90 0 0 90 0 90 0 270 0 270 90 90 90 90 0 270 0 0 0 0 0 180 0 270]
13,1,50,lattice,5867,37.1813388370229,76.5963445602987,8.84,-7.4,100,5867,460,[90 180 180 90 270 90 180 270 270 90 90 90 90 90 90 180 90 180 180 180 180 180 0 90 90 270 270 180 0 0 0 270 180 180 0 270 180 180 90 90 180 0 180 0 270 90 0 180 270 0],[0 90 0 90 90 90 180 270 180 0 270 0 180 0 0 0 180 0 0 180 0 270 90 270 180 180 90 0 180 0 0 0 90 90 0 180 270 270 270 180 270 180 0 270 0 270 90 90 180 90]
12,0.8,150,lattice,4936,37.239979962311715,56.20533782480095,3.702666666666675,-1.865333333333338,100,4936,541,[90 90 90 180 180 90 270 0 180 180 180 180 90 0 270 180 270 270 270 270 0 180 270 180 270 180 180 0 180 0 90 0 90 180 0 180 90 180 0 0 180 90 180 180 90 270 270 90 180 180 270 90 270 90 90 0 90 180 90 180 90 0 90 0 90 0 90 270 90 180 0 270 180 90 270 0 180 0 180 90 180 0 270 0 180 180 90 270 270 90 270 180 270 270 90 90 0 180 90 180 90 90 90 0 0 90 180 0 180 270 270 90 270 180 180 0 180 90 270 0 270 0 180 180 90 90 180 0 270 270 90 0 270 90 0 0 270 270 0 0 0 270 0 270 0 180 180 0 270 0],[0 90 0 180 270 90 0 0 180 0 180 270 180 180 270 270 270 0 90 270 270 90 0 90 180 270 90 90 0 270 90 90 0 90 0 90 180 180 0 270 0 270 90 270 270 270 180 180 0 0 180 90 0 270 90 0 0 270 270 270 270 90 0 90 90 90 180 0 270 90 270 270 180 0 180 0 90 270 90 270 180 270 0 0 90 180 270 180 0 90 270 0 270 0 180 180 0 90 90 180 270 270 270 270 270 0 90 0 180 270 90 270 180 0 90 180 180 180 0 180 180 270 180 270 90 0 90 0 0 90 0 90 90 180 90 0 270 180 0 90 180 0 270 90 180 90 90 270 0 0]
14,1,100,lattice,4321,35.51300233241378,65.73431371817918,0.73,2.74,100,4321,645,[90 270 0 180 270 0 90 270 90 180 180 270 90 0 90 0 180 0 180 180 270 90 180 90 90 180 270 90 90 180 90 0 90 180 90 270 0 90 0 90 90 0 0 0 90 0 0 180 180 0 180 270 270 180 180 0 90 90 90 0 180 270 270 270 180 0 90 0 270 0 180 0 270 90 180 180 0 0 180 0 270 180 0 270 180 90 90 90 0 0 90 180 270 90 0 90 270 180 270 0],[180 270 180 90 180 0 180 0 0 90 0 90 270 270 180 90 180 270 270 0 270 90 270 270 180 270 270 0 90 270 90 180 180 0 270 180 0 180 270 90 270 180 270 270 90 90 180 90 0 0 90 270 0 180 0 90 90 180 90 0 270 270 90 90 0 180 270 270 0 270 0 90 180 270 90 0 180 90 0 90 180 0 0 270 0 180 0 90 0 180 90 0 270 180 0 270 270 180 180 0]
15,1,150,lattice,3303,38.20368726334174,57.47173218200405,0,0.4266666666666667,100,3303,441,[0 90 90 270 270 0 0 90 180 90 180 90 180 0 0 0 90 270 0 90 270 180 0 0 270 90 180 270 180 270 270 270 270 180 90 0 90 0 0 90 90 180 0 90 0 180 0 0 90 0 0 0 0 90 270 180 0 180 270 270 180 180 180 0 270 0 180 90 180 90 180 90 0 0 90 180 180 90 270 180 180 0 90 180 90 90 180 90 270 0 0 90 90 270 180 270 270 270 270 0 0 0 0 90 270 270 90 90 0 90 0 180 270 90 270 180 270 270 270 180 180 0 270 180 90 270 90 180 0 90 180 90 180 270 270 0 270 0 0 0 180 270 180 180 0 180 180 90 90 270],[180 90 0 0 180 270 0 270 270 0 270 90 270 90 90 180 90 180 90 90 270 180 180 0 0 270 0 180 90 90 90 90 180 0 270 270 90 270 270 90 180 90 90 0 270 180 90 0 90 90 180 90 270 180 180 0 270 270 0 0 180 270 0 180 270 0 180 270 90 90 270 0 0 0 90 0 90 90 90 90 0 270 0 90 90 90 90 180 270 90 0 180 270 90 180 270 180 0 180 90 90 90 180 180 90 0 270 270 270 270 180 0 90 90 0 270 270 270 180 270 270 90 0 0 0 270 270 180 90 270 270 0 270 0 90 270 180 0 270 90 270 90 270 90 90 270 90 180 90 270]
16,1.2,50,lattice,11564,34.036942835560716,129.04324856419262,1.2360000000000073,-5.0959999999999965,100,11564,372,[270 0 270 270 90 90 90 180 270 90 90 0 0 0 270 0 90 90 180 270 180 270 0 180 90 180 0 0 0 90 0 90 90 180 0 270 270 0 0 270 90 90 90 0 90 180 180 0 180 90],[0 180 90 90 90 0 0 90 270 270 0 90 90 90 0 270 270 90 0 90 0 0 0 180 90 270 0 90 0 90 0 270 270 90 270 90 0 270 270 270 90 270 0 180 180 90 180 270 180 0]
17,1.2,100,lattice,9152,38.07739829135079,114.79930313377342,2.3739999999999886,-2.8200000000000016,100,9152,215,[0 90 180 90 180 180 270 0 90 0 270 0 90 270 180 270 0 0 270 0 270 90 90 0 180 270 0 0 0 90 180 90 90 270 90 180 180 90 180 270 180 180 90 90 270 180 180 90 180 0 90 0 180 180 180 90 270 90 270 0 0 90 180 90 180 0 0 270 0 270 0 0 180 270 0 0 0 180 270 180 180 90 90 0 90 0 270 90 90 180 180 180 90 180 90 0 90 270 180 90],[180 180 180 90 270 0 180 0 90 90 270 90 0 270 180 180 0 270 180 0 90 90 180 90 270 0 0 0 180 180 90 0 90 90 90 90 90 90 180 270 180 0 180 270 0 270 180 90 180 180 90 0 0 90 270 180 180 0 90 0 0 0 180 270 180 0 180 180 0 270 90 180 270 0 270 0 180 0 270 180 180 180 270 90 90 0 270 0 90 270 90 180 270 270 90 90 0 0 180 180]
18,1.2,150,lattice,8277,37.675587835663535,109.17362318802101,1.986666666666659,-3.971999999999998,100,8277,459,[0 0 0 0 270 90 90 0 90 0 0 0 0 180 90 90 270 180 0 0 0 270 270 270 90 270 0 90 180 90 270 270 180 180 90 270 180 180 180 90 270 180 180 270 180 270 180 180 0 270 180 0 180 180 180 180 90 180 0 0 90 180 180 270 270 180 90 270 180 90 0 90 270 90 180 0 0 270 270 0 270 180 270 0 90 90 180 180 270 180 90 90 270 270 0 0 180 180 90 180 90 0 90 180 90 270 270 90 90 270 180 90 0 270 90 0 90 270 0 90 180 180 0 90 270 90 90 270 180 90 90 90 270 270 180 180 180 90 180 180 180 0 90 270 90 90 90 90 270 270],[90 90 180 0 90 270 270 270 180 0 270 90 90 180 90 270 180 270 180 270 180 180 0 90 0 270 0 270 270 180 180 270 180 90 90 270 270 270 180 270 0 0 0 270 90 270 90 90 180 90 90 270 0 90 180 270 90 270 180 0 90 90 90 180 180 0 0 270 90 270 270 0 0 180 180 270 0 270 0 270 270 90 270 270 270 90 270 90 90 180 180 90 180 0 90 0 180 90 180 270 0 270 90 180 270 0 270 270 180 0 90 180 0 270 180 90 90 180 90 270 0 270 270 0 90 0 0 0 90 0 180 270 180 270 90 270 0 90 270 0 90 0 90 180 270 180 270 90 90 180]
19,1.4,50,lattice,20474,42.114806677129565,200.3223402419211,-2.5600000000000045,1.66,100,20474,281,[270 0 270 0 180 90 180 270 0 90 270 90 270 90 270 90 180 0 0 270 0 270 180 180 0 180 0 0 0 90 180 180 180 180 90 90 0 0 270 270 180 270 90 90 0 0 270 90 90 90],[180 270 180 90 90 270 90 180 270 90 180 0 180 270 180 270 90 90 0 270 270 270 0 90 180 180 180 90 0 0 270 0 270 0 90 180 180 0 90 90 180 180 180 270 0 0 270 180 0 180]
20,1.4,100,lattice,16864,38.61817562226298,181.80605050437674,-1.9060000000000132,-2.6999999999999953,100,16864,309,[270 180 270 270 180 90 90 270 0 90 0 0 180 0 180 180 0 270 90 0 180 180 0 270 270 0 90 90 270 180 0 180 270 180 0 90 90 90 180 180 0 0 0 90 0 0 180 180 270 0 0 90 0 0 90 90 90 0 0 270 0 90 270 180 90 270 180 90 90 180 180 90 270 90 0 90 270 180 180 90 90 180 270 180 270 0 180 0 270 180 270 270 270 270 0 0 90 90 0 0],[180 90 180 0 90 180 180 270 270 270 270 90 270 180 270 180 270 0 270 270 270 90 90 0 270 270 180 180 180 90 90 90 180 180 270 270 0 180 90 90 90 180 90 180 90 270 270 0 0 270 180 270 0 0 180 0 270 270 0 270 0 270 180 0 0 0 0 270 0 270 90 180 180 90 90 180 90 90 90 90 90 180 90 270 180 0 270 270 180 0 90 180 270 180 270 0 180 270 180 0]
