run number,step-size,num,rw-type,step,mean [distance-to-zero] of turtles,step-size * sqrt ticks,mean [xcor] of turtles,mean [ycor] of turtles,100 * count patches with [pcolor = yellow] / count patches,time-all-covered,time-border-reached,map [ t -> [ current-angle ] of t ] sort turtles,map [ t -> [ angle ] of t ] sort turtles
19,1.4,50,lattice,4547,24.325198531526556,94.404025337906,-4.040000000000001,-0.8400000000000002,100,4547,121,[0 180 90 90 90 0 270 270 180 180 270 0 0 180 270 90 90 180 180 180 90 90 0 0 270 270 90 270 270 180 90 0 90 0 90 270 0 270 270 0 270 0 180 270 0 180 270 0 270 90],[0 0 270 0 180 90 270 270 90 270 270 270 180 0 90 270 180 180 0 0 0 180 0 0 270 90 180 90 270 180 180 180 90 270 0 180 180 0 270 270 180 180 0 180 270 90 0 180 180 180]
18,1.2,150,lattice,2215,23.521977863933927,56.47654380360044,-2.2160000000000033,-2.3946666666666694,100,2215,138,[0 270 0 0 270 0 180 270 180 90 180 180 180 0 270 0 90 180 90 180 0 0 0 0 90 180 180 90 270 180 180 90 270 90 270 90 270 90 0 180 270 180 0 0 180 180 180 270 0 180 0 90 180 0 90 270 270 270 0 0 270 90 0 180 270 90 90 90 90 90 90 180 180 180 270 0 180 90 90 90 180 0 90 0 0 0 90 270 180 270 0 180 270 90 180 180 270 180 90 180 0 270 90 0 90 180 0 180 0 90 90 180 0 90 0 180 0 270 90 180 0 270 90 270 90 180 180 90 270 180 270 270 90 90 90 90 90 90 180 180 0 0 180 270 0 180 270 180 0 90],[180 180 180 270 0 0 180 90 0 270 180 90 270 0 0 270 90 270 180 90 270 0 0 180 270 90 270 0 90 90 0 0 90 270 270 0 0 180 180 90 270 90 180 180 180 180 180 270 180 180 90 180 270 90 270 180 180 0 0 0 180 180 0 0 270 270 270 0 180 180 90 180 0 90 90 0 180 0 90 180 90 270 180 270 90 180 90 0 90 180 270 180 270 180 180 90 270 180 180 0 270 270 270 90 270 270 270 270 0 180 180 180 180 270 90 90 180 90 0 0 0 90 180 180 90 90 0 0 180 90 0 270 90 0 180 90 270 0 0 270 90 270 0 180 180 270 0 0 180 90]
20,1.4,100,lattice,2248,24.293154227402788,66.3783097103263,-1.7940000000000054,0.8960000000000024,100,2248,88,[270 180 0 180 180 270 270 270 90 270 0 0 180 0 0 270 90 270 270 90 0 180 0 180 90 0 0 0 0 90 270 180 90 0 180 90 0 270 0 270 90 90 270 270 0 180 0 0 90 270 180 0 180 0 90 90 90 0 0 180 90 90 0 0 270 270 0 90 0 90 270 180 0 180 180 90 270 90 180 180 270 90 270 90 270 90 0 180 0 180 90 90 180 180 0 90 90 270 90 270],[180 90 270 180 90 0 90 270 180 270 0 180 0 180 90 90 180 180 0 180 0 90 180 270 0 180 90 270 90 0 180 0 90 180 180 270 270 0 90 90 90 0 180 270 180 270 0 90 90 90 90 180 270 270 270 0 0 180 90 270 90 270 180 0 270 270 0 0 0 180 180 90 270 270 90 180 180 270 0 90 180 0 180 0 180 270 270 270 0 270 90 0 270 270 90 270 270 0 270 180]
21,1.4,150,lattice,2025,23.714618536386826,62.99999999999999,-0.22666666666666596,2.081333333333332,100,2025,133,[90 0 90 180 180 180 0 270 180 90 90 0 0 270 270 270 0 270 0 180 90 90 270 180 0 270 90 0 90 90 0 270 180 0 180 270 0 90 0 180 180 270 0 270 270 180 270 180 0 0 90 0 180 270 0 90 90 180 270 90 90 270 90 90 270 270 270 0 180 180 90 90 90 0 90 90 270 270 0 270 270 0 180 180 0 270 90 270 180 90 90 0 180 180 270 0 180 180 180 270 0 90 270 90 270 0 0 90 270 270 180 270 0 270 90 270 270 0 90 270 0 180 180 0 180 90 180 180 0 270 90 180 180 90 270 180 180 0 270 90 180 90 0 270 90 90 90 90 270 90],[180 180 180 0 90 90 270 180 0 90 180 270 270 90 0 180 0 90 90 90 180 90 180 0 180 90 0 0 270 0 180 90 90 0 270 0 270 270 0 180 270 180 0 90 0 180 90 90 180 0 180 270 0 90 0 0 180 270 90 180 180 270 0 0 270 90 90 0 0 270 180 90 270 90 270 90 90 270 180 90 270 90 270 90 270 180 180 270 0 90 270 0 0 270 180 0 180 90 270 180 90 90 90 0 0 180 0 180 180 0 0 90 90 180 270 90 0 0 90 0 270 90 90 270 180 180 270 90 0 270 0 180 0 180 0 0 180 0 180 180 270 90 0 0 0 0 180 270 90 0]
22,1.6,50,lattice,7787,22.8101160020086,141.19036794342594,1.2439999999999927,5.311999999999997,100,7787,91,[180 90 90 0 180 180 180 90 0 0 180 180 90 180 270 270 0 180 90 180 90 0 0 270 90 270 90 0 180 90 270 90 270 270 270 0 0 0 180 0 0 270 180 90 180 90 180 0 0 180],[90 180 270 90 90 270 90 0 270 90 0 90 180 180 180 0 180 0 0 90 270 90 270 0 270 0 180 0 0 90 180 180 0 270 180 0 90 180 90 90 180 270 180 270 0 90 270 0 0 0]
23,1.6,100,lattice,5833,21.88428411287006,122.19852699603217,-1.0460000000000038,0.24600000000000186,100,5833,53,[90 0 180 180 0 90 90 0 180 270 270 270 0 0 90 0 180 270 90 90 0 180 270 90 270 90 180 90 270 0 90 180 90 180 90 180 180 90 180 0 270 270 90 90 180 270 90 0 180 90 270 180 0 0 0 270 0 180 180 270 0 0 0 90 180 0 180 270 270 270 180 0 0 180 90 90 270 0 90 180 180 90 0 0 90 180 90 90 0 270 90 0 180 0 0 270 0 180 0 180],[180 90 0 90 90 180 180 90 180 0 180 0 0 90 270 180 0 90 0 90 90 0 90 90 0 270 270 90 270 180 180 0 0 270 0 90 180 180 90 0 0 90 270 90 180 270 90 270 90 90 90 180 270 0 0 180 270 0 180 180 270 180 270 0 270 270 90 270 0 270 90 0 0 270 90 90 90 270 270 270 180 90 0 0 270 180 0 0 270 180 0 90 180 270 90 90 270 0 180 270]
24,1.6,150,lattice,5123,23.233641097378424,114.52021655585531,1.3373333333333308,-0.9653333333333319,100,5123,45,[90 90 180 0 90 0 90 90 90 0 0 270 270 0 0 0 270 270 180 0 90 270 90 90 90 90 180 90 270 270 180 90 180 0 90 180 180 0 180 0 0 0 270 180 270 90 270 0 90 90 180 0 90 0 180 270 180 0 90 180 90 0 180 270 180 180 90 180 270 270 0 90 180 180 270 0 0 270 0 180 270 90 180 270 0 0 270 180 180 0 90 0 180 0 90 270 0 90 0 180 270 0 270 270 270 90 270 0 0 180 0 180 180 270 0 0 0 270 90 180 270 90 90 0 0 90 270 90 270 180 90 270 180 180 90 180 270 270 0 90 270 180 0 90 180 90 180 0 270 270],[90 180 180 90 270 90 270 0 180 90 180 180 0 270 90 270 90 0 90 90 90 0 270 90 180 90 90 180 180 0 90 90 180 270 90 270 0 270 180 0 0 180 90 90 0 270 270 90 270 0 0 270 0 180 0 0 270 90 270 90 180 180 0 270 180 90 180 0 90 270 90 270 180 180 180 0 0 180 270 270 0 0 90 90 180 270 0 180 0 90 180 90 270 90 270 270 0 90 270 180 270 180 180 180 180 180 90 0 180 180 270 180 90 0 90 270 270 270 180 180 0 270 180 180 270 270 0 180 270 270 0 0 270 0 90 180 270 90 270 90 180 90 0 0 270 90 180 180 0 270]
25,1.8,50,lattice,12973,22.81477586405817,205.0183406429776,-0.04000000000000007,1.1920000000000064,100,12973,59,[90 180 90 0 90 180 270 270 180 90 0 90 180 270 90 0 0 0 180 180 0 0 180 180 180 180 0 0 0 90 180 90 270 0 0 180 270 270 270 180 180 270 0 180 180 90 90 180 270 90],[180 0 0 180 0 0 270 270 90 0 90 180 90 0 0 0 0 180 180 270 270 270 90 180 180 180 90 90 180 0 270 0 90 180 270 180 90 180 270 180 0 0 90 0 90 90 270 0 270 0]
28,2,50,lattice,2385,21.858500572363642,97.67292357659824,-2.78,1.64,100,2385,67,[0 90 270 270 270 180 90 180 180 270 180 270 180 0 0 90 0 90 90 270 270 270 180 0 270 270 90 180 90 180 270 90 270 180 90 0 180 90 90 0 270 0 270 180 180 90 180 90 180 90],[180 180 270 90 0 90 270 90 270 0 0 180 0 0 270 270 0 0 270 0 270 270 90 180 180 90 180 0 90 0 270 0 180 0 180 180 0 270 180 90 270 180 90 90 180 270 270 180 90 180]
29,2,100,lattice,1472,23.316345735346047,76.7333043730035,2,-0.22,100,1472,59,[90 90 270 270 270 270 0 0 270 90 0 270 0 0 0 270 180 90 270 90 90 90 90 180 270 0 0 180 0 270 90 90 90 180 90 180 0 180 90 270 270 270 270 90 90 270 270 270 180 90 270 180 180 180 180 270 0 270 0 90 180 180 270 270 90 90 0 270 270 180 270 90 0 0 180 0 270 0 270 90 270 90 180 270 270 0 90 90 180 0 270 180 270 90 0 0 270 90 180 0],[0 180 180 0 0 0 180 270 0 180 0 270 0 0 0 180 270 0 0 270 180 180 180 90 0 0 270 0 180 90 180 180 90 180 0 270 270 180 90 180 180 270 0 90 270 180 90 90 0 90 0 180 90 90 90 180 90 180 270 0 0 270 0 180 0 90 180 270 0 270 90 0 180 180 180 90 270 90 270 0 180 90 270 270 180 90 0 180 90 0 0 90 90 0 90 90 270 90 90 180]
30,2,150,lattice,1034,23.815518651692454,64.31174076325411,-0.22,0.2,100,1034,38,[270 270 0 0 90 270 90 0 270 90 270 270 0 270 90 0 180 0 270 270 180 90 180 270 0 90 90 0 270 180 90 0 90 180 270 180 90 180 180 270 270 270 0 90 180 180 270 180 0 90 270 270 270 0 0 0 90 0 90 0 0 270 90 0 0 270 0 180 180 0 90 180 90 270 90 0 180 270 180 90 0 0 90 0 0 90 270 180 180 0 270 0 180 0 270 180 180 180 270 180 270 270 270 90 90 270 0 90 180 0 90 90 90 0 270 180 90 180 0 90 0 90 90 90 270 90 180 270 180 0 90 270 270 180 270 90 180 270 180 270 0 90 180 90 90 270 0 180 90 90],[0 90 180 180 0 180 180 270 90 0 90 180 90 0 0 90 270 0 90 180 0 270 180 90 90 90 90 180 270 0 0 270 90 90 180 90 270 180 90 180 270 180 0 0 90 270 180 90 270 90 90 90 180 180 180 0 270 0 270 270 90 90 270 270 270 90 180 0 90 180 180 180 180 0 270 90 90 0 270 90 0 0 0 270 90 0 0 0 270 0 0 0 90 0 90 180 270 90 0 90 90 180 180 90 0 90 0 270 180 270 180 270 90 0 180 0 0 180 270 180 270 270 0 0 270 180 90 180 270 270 180 90 90 90 270 90 0 180 270 0 270 90 270 180 90 180 180 180 270 90]
26,1.8,100,lattice,10128,22.768401555575196,181.1483370058914,-2.344000000000003,-1.959999999999997,100,10128,44,[90 0 270 90 90 180 270 180 180 270 180 0 90 90 270 180 0 90 90 270 0 180 0 270 0 90 270 0 180 90 90 90 0 180 0 0 90 0 90 270 180 270 180 180 270 90 180 0 180 0 0 0 0 0 90 90 270 180 0 180 0 180 180 180 180 90 0 0 180 90 90 90 0 180 0 0 0 90 0 90 90 0 90 270 180 90 0 0 270 180 270 0 270 90 90 270 90 90 90 270],[270 270 180 0 0 0 180 270 0 180 90 180 180 90 270 180 270 90 90 0 270 0 180 270 270 90 180 180 90 270 270 270 90 270 0 270 0 0 180 180 90 90 90 270 0 180 180 180 0 270 0 270 270 270 180 90 90 270 270 0 0 0 270 270 180 90 270 0 270 90 180 180 270 180 90 180 180 0 90 0 270 270 0 90 0 90 270 180 270 180 0 90 90 0 270 270 90 180 270 270]
27,1.8,150,lattice,7564,23.10192200413844,156.54826731714408,-1.9853333333333316,0.21733333333333713,100,7564,46,[90 270 180 90 270 0 90 180 270 270 180 180 0 270 90 90 180 180 270 180 90 90 0 90 90 0 0 180 180 90 0 90 180 180 0 270 180 90 90 270 90 180 90 90 270 90 180 0 270 90 180 90 90 270 270 180 0 90 270 90 90 180 270 0 180 0 0 90 90 180 180 0 270 180 90 270 180 180 0 270 270 90 180 270 90 0 180 0 270 180 90 270 90 180 180 180 270 0 0 180 180 0 90 90 270 90 0 180 180 270 0 180 90 180 270 90 270 90 0 90 270 180 90 270 90 270 90 90 0 0 90 0 180 180 270 0 90 0 180 270 180 0 180 180 0 180 0 90 0 270],[90 90 90 0 180 180 270 180 180 0 180 90 270 270 270 180 0 270 270 180 0 180 0 0 90 180 270 0 0 90 90 270 90 270 0 270 180 90 90 90 270 270 180 0 180 90 180 270 0 180 270 0 90 180 270 90 180 0 270 180 0 0 270 270 270 90 180 90 0 90 180 0 90 180 90 180 0 0 0 0 180 180 90 0 0 270 90 270 0 180 0 270 180 270 180 0 0 90 90 270 270 0 270 90 90 270 90 90 0 180 180 180 270 90 0 90 270 0 180 90 180 0 270 90 90 270 270 90 90 180 270 180 180 270 180 270 0 180 180 180 180 270 90 90 90 180 270 180 0 90]
